TABLE,JILI-TABLE-016,TeenPatti 20-20,-
TABLE,JILI-TABLE-017,Sic Bo,骰宝
TABLE,JILI-TABLE-018,Super Bingo,-
TABLE,JILI-TABLE-019,Bingo Carnaval,-
TABLE,JILI-TABLE-020,Lucky Bingo,-
TABLE,JILI-TABLE-021,Ludo Quick,-
TABLE,JILI-TABLE-022,Go Goal Bingo,-
TABLE,JILI-TABLE-023,Color Game,-
TABLE,JILI-TABLE-024,Jackpot Bingo,-
TABLE,JILI-TABLE-025,Tongits Go,-
TABLE,JILI-TABLE-026,Calaca Bingo,-
TABLE,JILI-TABLE-027,Golden Land,黃金秘境
TABLE,JILI-TABLE-028,PAPPU,-
TABLE,JILI-TABLE-029,West Hunter Bingo,-
TABLE,JILI-TABLE-030,Go Rush,-
TABLE,JILI-TABLE-031,Tower,-
TABLE,JILI-TABLE-032,HILO,-
TABLE,JILI-TABLE-033,Mines,-
TABLE,JILI-TABLE-034,Bingo Adventure,-
TABLE,JILI-TABLE-035,Limbo,-
TABLE,JILI-TABLE-036,wheel ,-
TABLE,JILI-TABLE-037,Mines Gold,-
TABLE,JILI-TABLE-038,Pusoy Go,-
